state,action,q_value
"[[0, 0, 'X'], ['O', 0, 0], [0, 0, 'O']]",7,0.0
"[[0, 'X', 'X'], ['O', 0, 0], [0, 0, 'O']]",8,0.0
"[[0, 'X', 'X'], ['O', 0, 0], [0, 'O', 'O']]",1,0.1
"[[0, 0, 0], [0, 0, 'O'], [0, 0, 0]]",5,0.0
"[[0, 0, 0], [0, 0, 'O'], [0, 0, 0]]",8,0.0
"[[0, 0, 0], [0, 0, 'O'], [0, 0, 0]]",4,0.0
"[[0, 0, 0], [0, 0, 'O'], [0, 0, 0]]",3,0.0
"[[0, 0, 0], [0, 0, 'O'], [0, 0, 0]]",1,0.0
"[[0, 0, 0], [0, 0, 'O'], [0, 0, 0]]",2,0.0
"[[0, 0, 0], [0, 0, 'O'], [0, 0, 0]]",9,0.7175786555799663
"[[0, 0, 0], [0, 0, 'O'], [0, 0, 0]]",7,0.0
"[[0, 0, 0], [0, 'X', 'O'], [0, 0, 0]]",7,0.0
"[[0, 0, 0], [0, 'X', 'O'], [0, 0, 0]]",3,0.00037397700000000006
"[[0, 0, 0], [0, 'X', 'O'], [0, 0, 0]]",4,0.0
"[[0, 0, 0], [0, 'X', 'O'], [0, 0, 0]]",2,0.0
"[[0, 0, 0], [0, 'X', 'O'], [0, 0, 0]]",1,0.0
"[[0, 0, 0], [0, 'X', 'O'], ['O', 0, 0]]",3,0.0
"[[0, 0, 0], [0, 'X', 'O'], ['O', 0, 0]]",9,0.8099999734710052
"[[0, 0, 0], [0, 'X', 'O'], ['O', 0, 0]]",4,0.0
"[[0, 0, 0], [0, 'X', 'O'], ['O', 0, 0]]",2,0.0
"[[0, 0, 0], [0, 'X', 'O'], ['O', 0, 0]]",8,0.0
"[[0, 0, 0], [0, 'X', 'O'], ['O', 0, 0]]",1,0.0
"[[0, 0, 'X'], [0, 'X', 'O'], ['O', 0, 0]]",9,0.0
"[[0, 0, 'X'], [0, 'X', 'O'], ['O', 0, 0]]",4,0.0
"[[0, 0, 'X'], [0, 'X', 'O'], ['O', 0, 'O']]",1,0.0
"[['X', 0, 'X'], [0, 'X', 'O'], ['O', 0, 'O']]",8,-0.19
"[['X', 0, 'X'], [0, 'X', 'O'], ['O', 0, 'O']]",2,0.271
"[[0, 0, 0], [0, 'O', 0], [0, 0, 0]]",2,0.0
"[[0, 0, 0], [0, 'O', 0], [0, 0, 0]]",3,0.0
"[[0, 0, 0], [0, 'O', 0], [0, 0, 0]]",4,0.0
"[[0, 0, 0], [0, 'O', 0], [0, 0, 0]]",6,0.0
"[[0, 0, 0], [0, 'O', 0], [0, 0, 0]]",8,0.0
"[[0, 0, 0], [0, 'O', 0], [0, 0, 0]]",9,0.6560999999999979
"[[0, 0, 0], [0, 'O', 0], [0, 0, 0]]",1,0.0
"[[0, 0, 0], [0, 'O', 0], [0, 0, 0]]",7,0.0
"[[0, 'X', 0], [0, 'O', 0], ['O', 0, 0]]",6,0.0
"[[0, 'X', 0], [0, 'O', 0], ['O', 0, 0]]",3,0.0
"[[0, 'X', 0], [0, 'O', 0], ['O', 0, 0]]",4,0.0
"[[0, 'X', 0], [0, 'O', 'X'], ['O', 0, 0]]",4,0.0
"[[0, 'X', 0], [0, 'O', 'X'], ['O', 0, 0]]",9,0.0
"[[0, 'X', 0], [0, 'O', 'X'], ['O', 0, 0]]",8,0.0
"[[0, 'X', 0], ['O', 'O', 'X'], ['O', 0, 0]]",8,0.0
"[[0, 'X', 0], ['O', 'O', 'X'], ['O', 'X', 0]]",3,-0.1
"[[0, 'X', 0], ['O', 'O', 'X'], ['O', 'X', 0]]",1,-0.0015390000000000002
"[[0, 'X', 0], ['O', 'O', 'X'], ['O', 'X', 0]]",9,-0.024390000000000005
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 0]]",9,0.012250483749345028
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 0]]",1,0.1008079462805571
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 0]]",4,0.06187880295513518
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 0]]",8,0.17101676155569137
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 0]]",2,0.043386991398041246
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 0]]",5,0.12166896168636132
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 0]]",7,0.10343384274693553
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 0]]",3,0.022721144879934617
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 'O']]",8,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 'O']]",7,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 'O']]",3,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 'O']]",4,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 'O']]",5,0.027093085692282925
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 'O']]",2,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 0, 'O']]",1,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 'X', 'O']]",2,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 'X', 'O']]",5,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 'X', 'O']]",3,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 'X', 'O']]",1,0.0
"[[0, 0, 0], [0, 0, 'X'], [0, 'X', 'O']]",7,0.0
"[[0, 'O', 0], [0, 0, 'X'], [0, 'X', 'O']]",4,0.0
"[[0, 'O', 0], [0, 0, 'X'], [0, 'X', 'O']]",5,0.0
"[[0, 'O', 0], ['X', 0, 'X'], [0, 'X', 'O']]",3,0.0
"[[0, 'O', 'O'], ['X', 0, 'X'], [0, 'X', 'O']]",1,0.0
"[[0, 'O', 'O'], ['X', 0, 'X'], [0, 'X', 'O']]",5,0.0
"[['X', 'O', 'O'], ['X', 0, 'X'], [0, 'X', 'O']]",7,-0.0009000000000000008
"[['X', 'O', 'O'], ['X', 0, 'X'], ['O', 'X', 'O']]",5,0.091
"[[0, 0, 0], ['X', 0, 0], [0, 0, 0]]",6,0.06957941611347133
"[[0, 0, 0], ['X', 0, 0], [0, 0, 0]]",7,0.0
"[[0, 0, 0], ['X', 0, 0], [0, 0, 0]]",3,0.007590883081201724
"[[0, 0, 0], ['X', 0, 0], [0, 0, 0]]",2,0.0003878280000000001
"[[0, 0, 0], ['X', 0, 0], [0, 0, 0]]",8,0.011584801971665126
"[[0, 0, 0], ['X', 0, 0], [0, 0, 0]]",9,0.5739700098863572
"[[0, 0, 0], ['X', 0, 0], [0, 0, 0]]",1,0.0
"[[0, 0, 0], ['X', 0, 0], [0, 0, 0]]",5,0.014650383881928984
"[[0, 0, 0], ['X', 0, 'O'], [0, 0, 0]]",8,0.0
"[[0, 0, 0], ['X', 0, 'O'], [0, 0, 0]]",9,0.0
"[[0, 0, 0], ['X', 0, 'O'], [0, 0, 0]]",7,0.17638424311509307
"[[0, 0, 0], ['X', 0, 'O'], [0, 0, 0]]",1,0.0
"[[0, 0, 0], ['X', 0, 'O'], [0, 'X', 0]]",2,0.0
"[[0, 0, 0], ['X', 0, 'O'], [0, 'X', 0]]",3,-0.009000000000000001
"[[0, 0, 0], ['X', 0, 'O'], [0, 'X', 0]]",9,0.0
"[[0, 0, 0], ['X', 0, 'O'], [0, 'X', 0]]",7,0.0
"[[0, 'O', 0], ['X', 0, 'O'], [0, 'X', 0]]",7,0.0
"[[0, 'O', 0], ['X', 0, 'O'], [0, 'X', 0]]",9,0.0
"[[0, 'O', 0], ['X', 0, 'O'], [0, 'X', 0]]",3,0.0
"[[0, 'O', 0], ['X', 0, 'O'], ['X', 'X', 0]]",1,0.0
"[['O', 'O', 0], ['X', 0, 'O'], ['X', 'X', 0]]",9,0.1
"[[0, 'X', 0], [0, 0, 'O'], [0, 0, 0]]",3,0.0
"[[0, 'X', 0], [0, 0, 'O'], [0, 0, 0]]",4,0.0
"[[0, 'X', 0], [0, 0, 'O'], [0, 0, 0]]",9,0.0
"[[0, 'X', 0], [0, 0, 'O'], [0, 0, 0]]",5,0.0
"[[0, 'X', 0], [0, 0, 'O'], [0, 0, 0]]",7,0.0
"[[0, 'X', 0], [0, 0, 'O'], [0, 0, 0]]",8,0.0
"[[0, 'X', 0], [0, 0, 'O'], [0, 0, 0]]",1,0.0
"[[0, 'X', 'X'], [0, 0, 'O'], [0, 0, 0]]",9,0.0
