Episode,Reward,Result
553,1.0,win
554,1.0,win
555,0.5,tie
556,1.0,win
557,1.0,win
558,-1.0,lose
559,-1.0,lose
560,-1.0,lose
561,1.0,win
562,1.0,win
563,1.0,win
564,-1.0,lose
565,1.0,win
566,1.0,win
567,-1.0,lose
568,-1.0,lose
569,-1.0,lose
570,0.5,tie
571,1.0,win
572,1.0,win
573,1.0,win
574,1.0,win
575,0.5,tie
576,-1.0,lose
577,1.0,win
578,1.0,win
579,1.0,win
580,1.0,win
581,0.5,tie
582,-1.0,lose
583,-1.0,lose
584,0.5,tie
585,1.0,win
586,0.5,tie
587,1.0,win
588,1.0,win
589,1.0,win
590,-1.0,lose
591,1.0,win
592,1.0,win
593,-1.0,lose
594,1.0,win
595,1.0,win
596,1.0,win
597,1.0,win
598,1.0,win
599,1.0,win
600,-1.0,lose
601,1.0,win
602,1.0,win
603,-1.0,lose
604,0.5,tie
605,-1.0,lose
606,-1.0,lose
607,-1.0,lose
608,1.0,win
609,-1.0,lose
610,1.0,win
611,-1.0,lose
612,-1.0,lose
613,1.0,win
614,-1.0,lose
615,-1.0,lose
616,1.0,win
617,-1.0,lose
618,1.0,win
619,1.0,win
620,1.0,win
621,0.5,tie
622,1.0,win
623,-1.0,lose
624,1.0,win
625,-1.0,lose
626,-1.0,lose
627,-1.0,lose
628,-1.0,lose
629,-1.0,lose
630,1.0,win
631,0.5,tie
632,-1.0,lose
633,-1.0,lose
634,1.0,win
635,1.0,win
636,-1.0,lose
637,-1.0,lose
638,1.0,win
639,-1.0,lose
640,1.0,win
641,1.0,win
642,-1.0,lose
643,-1.0,lose
644,1.0,win
645,1.0,win
646,1.0,win
647,-1.0,lose
648,-1.0,lose
649,1.0,win
650,1.0,win
651,0.5,tie
652,1.0,win
653,1.0,win
654,1.0,win
655,1.0,win
656,-1.0,lose
657,-1.0,lose
658,1.0,win
659,1.0,win
660,1.0,win
661,1.0,win
662,1.0,win
663,-1.0,lose
664,-1.0,lose
665,1.0,win
666,-1.0,lose
667,-1.0,lose
668,1.0,win
669,1.0,win
670,1.0,win
671,1.0,win
672,1.0,win
673,1.0,win
674,1.0,win
675,0.5,tie
676,1.0,win
677,1.0,win
678,1.0,win
679,1.0,win
680,0.5,tie
681,-1.0,lose
682,1.0,win
683,1.0,win
684,0.5,tie
685,1.0,win
686,-1.0,lose
687,1.0,win
688,-1.0,lose
689,-1.0,lose
690,1.0,win
691,1.0,win
692,1.0,win
693,-1.0,lose
694,-1.0,lose
695,-1.0,lose
696,1.0,win
697,-1.0,lose
698,1.0,win
699,1.0,win
700,1.0,win
701,1.0,win
702,-1.0,lose
703,0.5,tie
704,1.0,win
705,1.0,win
706,0.5,tie
707,0.5,tie
708,1.0,win
709,1.0,win
710,1.0,win
711,-1.0,lose
712,1.0,win
713,1.0,win
714,1.0,win
715,1.0,win
716,1.0,win
717,0.5,tie
718,-1.0,lose
719,1.0,win
720,1.0,win
721,1.0,win
722,-1.0,lose
723,1.0,win
724,1.0,win
725,1.0,win
726,-1.0,lose
727,-1.0,lose
728,0.5,tie
729,-1.0,lose
730,1.0,win
731,1.0,win
732,1.0,win
733,1.0,win
734,1.0,win
735,1.0,win
736,1.0,win
737,1.0,win
738,-1.0,lose
739,-1.0,lose
740,1.0,win
741,1.0,win
742,0.5,tie
743,1.0,win
744,1.0,win
745,1.0,win
746,1.0,win
747,0.5,tie
748,-1.0,lose
749,0.5,tie
750,-1.0,lose
751,0.5,tie
752,1.0,win
753,1.0,win
754,1.0,win
755,0.5,tie
756,1.0,win
757,1.0,win
758,1.0,win
759,-1.0,lose
760,1.0,win
761,1.0,win
762,1.0,win
763,1.0,win
764,1.0,win
765,-1.0,lose
766,0.5,tie
767,1.0,win
768,1.0,win
769,1.0,win
770,-1.0,lose
771,1.0,win
772,1.0,win
773,-1.0,lose
774,0.5,tie
775,0.5,tie
776,-1.0,lose
777,1.0,win
778,1.0,win
779,1.0,win
780,-1.0,lose
781,-1.0,lose
782,1.0,win
783,-1.0,lose
784,1.0,win
785,1.0,win
786,-1.0,lose
787,-1.0,lose
788,1.0,win
789,1.0,win
790,1.0,win
791,1.0,win
792,-1.0,lose
793,1.0,win
794,1.0,win
795,1.0,win
796,-1.0,lose
797,-1.0,lose
798,1.0,win
799,1.0,win
800,0.5,tie
801,1.0,win
802,1.0,win
803,0.5,tie
804,1.0,win
805,1.0,win
806,1.0,win
807,1.0,win
808,0.5,tie
809,-1.0,lose
810,1.0,win
811,-1.0,lose
812,1.0,win
813,-1.0,lose
814,1.0,win
815,-1.0,lose
816,1.0,win
817,1.0,win
818,-1.0,lose
819,1.0,win
820,-1.0,lose
821,1.0,win
822,1.0,win
823,1.0,win
824,1.0,win
825,1.0,win
826,1.0,win
827,-1.0,lose
828,-1.0,lose
829,-1.0,lose
830,1.0,win
831,1.0,win
832,-1.0,lose
833,1.0,win
834,1.0,win
835,1.0,win
836,1.0,win
837,-1.0,lose
838,1.0,win
839,1.0,win
840,-1.0,lose
841,1.0,win
842,-1.0,lose
843,1.0,win
844,1.0,win
845,1.0,win
846,1.0,win
847,1.0,win
848,-1.0,lose
849,1.0,win
850,1.0,win
851,1.0,win
852,-1.0,lose
853,1.0,win
854,1.0,win
855,1.0,win
856,-1.0,lose
857,1.0,win
858,-1.0,lose
859,1.0,win
860,-1.0,lose
861,-1.0,lose
862,1.0,win
863,1.0,win
864,1.0,win
865,1.0,win
866,1.0,win
867,1.0,win
868,1.0,win
869,-1.0,lose
870,1.0,win
871,1.0,win
872,1.0,win
873,1.0,win
874,1.0,win
875,0.5,tie
876,1.0,win
877,-1.0,lose
878,1.0,win
879,1.0,win
880,1.0,win
881,-1.0,lose
882,1.0,win
883,1.0,win
884,1.0,win
885,1.0,win
886,0.5,tie
887,-1.0,lose
888,1.0,win
889,1.0,win
890,1.0,win
891,1.0,win
892,-1.0,lose
893,1.0,win
894,-1.0,lose
895,1.0,win
896,-1.0,lose
897,-1.0,lose
898,1.0,win
899,1.0,win
900,1.0,win
901,1.0,win
902,1.0,win
903,1.0,win
904,-1.0,lose
905,1.0,win
906,-1.0,lose
907,-1.0,lose
908,1.0,win
909,0.5,tie
910,1.0,win
911,1.0,win
912,1.0,win
913,1.0,win
914,1.0,win
915,1.0,win
916,1.0,win
917,1.0,win
918,1.0,win
919,1.0,win
920,1.0,win
921,-1.0,lose
922,1.0,win
923,-1.0,lose
924,1.0,win
925,1.0,win
926,1.0,win
927,1.0,win
928,-1.0,lose
929,1.0,win
930,1.0,win
931,1.0,win
932,1.0,win
933,-1.0,lose
934,1.0,win
935,1.0,win
936,1.0,win
937,1.0,win
938,-1.0,lose
939,0.5,tie
940,1.0,win
941,1.0,win
942,-1.0,lose
943,1.0,win
944,1.0,win
945,0.5,tie
946,1.0,win
947,-1.0,lose
948,1.0,win
949,-1.0,lose
950,1.0,win
951,1.0,win
952,1.0,win
953,1.0,win
954,1.0,win
955,0.5,tie
956,1.0,win
957,-1.0,lose
958,0.5,tie
959,1.0,win
960,1.0,win
961,1.0,win
962,1.0,win
963,1.0,win
964,1.0,win
965,1.0,win
966,-1.0,lose
967,-1.0,lose
968,1.0,win
969,0.5,tie
970,1.0,win
971,1.0,win
972,1.0,win
973,1.0,win
974,1.0,win
975,1.0,win
976,1.0,win
977,1.0,win
978,1.0,win
979,-1.0,lose
980,1.0,win
981,1.0,win
982,1.0,win
983,1.0,win
984,1.0,win
985,1.0,win
986,1.0,win
987,1.0,win
988,1.0,win
989,1.0,win
990,-1.0,lose
991,1.0,win
992,1.0,win
993,1.0,win
994,-1.0,lose
995,1.0,win
996,0.5,tie
997,0.5,tie
998,1.0,win
999,-1.0,lose
1000,-1.0,lose
1001,-1.0,lose
1002,-1.0,lose
1003,1.0,win
1004,-1.0,lose
1005,1.0,win
1006,1.0,win
1007,1.0,win
1008,-1.0,lose
1009,1.0,win
1010,1.0,win
1011,1.0,win
1012,1.0,win
1013,1.0,win
1014,1.0,win
1015,1.0,win
1016,1.0,win
1017,-1.0,lose
1018,-1.0,lose
1019,-1.0,lose
1020,1.0,win
1021,1.0,win
1022,1.0,win
1023,1.0,win
1024,-1.0,lose
1025,1.0,win
1026,1.0,win
1027,1.0,win
1028,1.0,win
1029,1.0,win
1030,1.0,win
1031,0.5,tie
1032,1.0,win
1033,1.0,win
1034,1.0,win
1035,1.0,win
1036,-1.0,lose
1037,1.0,win
1038,-1.0,lose
1039,1.0,win
1040,1.0,win
1041,1.0,win
1042,1.0,win
1043,1.0,win
1044,1.0,win
1045,1.0,win
1046,-1.0,lose
1047,1.0,win
1048,-1.0,lose
1049,1.0,win
1050,1.0,win
1051,1.0,win
1052,1.0,win
1053,1.0,win
1054,0.5,tie
1055,1.0,win
1056,1.0,win
1057,1.0,win
1058,1.0,win
1059,1.0,win
1060,1.0,win
1061,-1.0,lose
1062,-1.0,lose
1063,-1.0,lose
1064,1.0,win
1065,-1.0,lose
1066,-1.0,lose
1067,-1.0,lose
1068,1.0,win
1069,0.5,tie
1070,1.0,win
1071,1.0,win
1072,1.0,win
1073,1.0,win
1074,-1.0,lose
1075,-1.0,lose
1076,1.0,win
1077,-1.0,lose
1078,0.5,tie
1079,1.0,win
1080,-1.0,lose
1081,1.0,win
1082,-1.0,lose
1083,-1.0,lose
1084,1.0,win
1085,1.0,win
1086,1.0,win
1087,1.0,win
1088,1.0,win
1089,1.0,win
1090,1.0,win
1091,1.0,win
1092,-1.0,lose
1093,1.0,win
1094,-1.0,lose
1095,1.0,win
1096,1.0,win
1097,-1.0,lose
1098,1.0,win
1099,1.0,win
1100,1.0,win
1101,-1.0,lose
1102,1.0,win
1103,-1.0,lose
1104,-1.0,lose
1105,1.0,win
1106,-1.0,lose
1107,1.0,win
1108,0.5,tie
1109,-1.0,lose
1110,1.0,win
1111,0.5,tie
1112,1.0,win
1113,1.0,win
1114,-1.0,lose
1115,1.0,win
1116,1.0,win
1117,1.0,win
1118,1.0,win
1119,-1.0,lose
1120,1.0,win
1121,-1.0,lose
1122,0.5,tie
1123,1.0,win
1124,1.0,win
1125,1.0,win
1126,-1.0,lose
1127,1.0,win
1128,1.0,win
1129,1.0,win
1130,-1.0,lose
1131,-1.0,lose
1132,1.0,win
1133,1.0,win
1134,1.0,win
1135,1.0,win
1136,1.0,win
1137,-1.0,lose
1138,1.0,win
1139,1.0,win
1140,1.0,win
1141,1.0,win
1142,1.0,win
1143,1.0,win
1144,1.0,win
1145,-1.0,lose
1146,-1.0,lose
1147,-1.0,lose
1148,1.0,win
1149,-1.0,lose
1150,1.0,win
1151,1.0,win
1152,1.0,win
1153,1.0,win
1154,-1.0,lose
1155,1.0,win
1156,1.0,win
1157,1.0,win
1158,-1.0,lose
1159,1.0,win
1160,1.0,win
1161,-1.0,lose
1162,1.0,win
1163,1.0,win
1164,1.0,win
1165,-1.0,lose
1166,1.0,win
1167,1.0,win
1168,-1.0,lose
1169,1.0,win
1170,-1.0,lose
1171,-1.0,lose
1172,1.0,win
1173,-1.0,lose
1174,1.0,win
1175,1.0,win
1176,-1.0,lose
1177,0.5,tie
1178,1.0,win
1179,1.0,win
1180,-1.0,lose
1181,1.0,win
1182,1.0,win
1183,1.0,win
1184,-1.0,lose
1185,-1.0,lose
1186,1.0,win
1187,1.0,win
1188,-1.0,lose
1189,1.0,win
1190,1.0,win
1191,1.0,win
1192,1.0,win
1193,-1.0,lose
1194,1.0,win
1195,-1.0,lose
1196,-1.0,lose
1197,1.0,win
1198,1.0,win
1199,1.0,win
1200,1.0,win
1201,1.0,win
1202,1.0,win
1203,1.0,win
1204,1.0,win
1205,1.0,win
1206,-1.0,lose
1207,1.0,win
1208,1.0,win
1209,-1.0,lose
1210,1.0,win
1211,-1.0,lose
1212,0.5,tie
1213,1.0,win
1214,1.0,win
1215,-1.0,lose
1216,1.0,win
1217,1.0,win
1218,1.0,win
1219,-1.0,lose
1220,1.0,win
1221,-1.0,lose
1222,1.0,win
1223,1.0,win
1224,1.0,win
1225,1.0,win
1226,1.0,win
1227,-1.0,lose
1228,1.0,win
1229,1.0,win
1230,1.0,win
1231,1.0,win
1232,1.0,win
1233,1.0,win
1234,-1.0,lose
1235,1.0,win
1236,1.0,win
1237,1.0,win
1238,1.0,win
1239,-1.0,lose
1240,1.0,win
1241,1.0,win
1242,-1.0,lose
1243,1.0,win
1244,1.0,win
1245,-1.0,lose
1246,1.0,win
1247,1.0,win
1248,-1.0,lose
1249,1.0,win
1250,1.0,win
1251,1.0,win
1252,1.0,win
1253,1.0,win
1254,1.0,win
1255,1.0,win
1256,-1.0,lose
1257,1.0,win
1258,-1.0,lose
1259,0.5,tie
1260,1.0,win
1261,1.0,win
1262,1.0,win
1263,1.0,win
1264,-1.0,lose
1265,1.0,win
1266,-1.0,lose
1267,1.0,win
1268,1.0,win
1269,1.0,win
1270,1.0,win
1271,-1.0,lose
1272,1.0,win
1273,1.0,win
1274,-1.0,lose
1275,1.0,win
1276,1.0,win
1277,1.0,win
1278,1.0,win
1279,0.5,tie
1280,-1.0,lose
1281,1.0,win
1282,1.0,win
1283,-1.0,lose
1284,1.0,win
1285,1.0,win
1286,1.0,win
1287,-1.0,lose
1288,1.0,win
1289,1.0,win
1290,1.0,win
1291,1.0,win
1292,1.0,win
1293,-1.0,lose
1294,1.0,win
1295,0.5,tie
1296,1.0,win
1297,1.0,win
1298,-1.0,lose
1299,1.0,win
1300,1.0,win
1301,1.0,win
1302,1.0,win
1303,1.0,win
1304,0.5,tie
1305,1.0,win
1306,1.0,win
1307,1.0,win
1308,1.0,win
1309,1.0,win
1310,-1.0,lose
1311,-1.0,lose
1312,-1.0,lose
1313,-1.0,lose
1314,1.0,win
1315,-1.0,lose
1316,1.0,win
1317,-1.0,lose
